p,q,model,auc_roc,auc_pr,accuracy,f1
0.2,0.2,Logistic Regression,0.7481012169466081,0.768567395955244,0.6985932355582161,0.6851156973108193
0.2,0.2,Light GBM,0.9600500112835361,0.9514372030098146,0.9073630649506136,0.909489691475362
0.2,0.2,Random Forest,0.9969999411410624,0.9961067155730658,0.9534570487877881,0.9555269555269555
0.2,0.4,Logistic Regression,0.7322764943831821,0.763087313719347,0.6816821310984735,0.6681229520986113
0.2,0.4,Light GBM,0.9595096199423756,0.9518853286162816,0.9007782101167315,0.9029424681598595
0.2,0.4,Random Forest,0.9960637973546804,0.9945998935154186,0.953307392996109,0.9553903345724908
0.2,0.6,Logistic Regression,0.7402791597882189,0.7652868260999306,0.6984435797665369,0.6864789170686169
0.2,0.6,Light GBM,0.958617956311976,0.9505948408511993,0.899131996408261,0.9015195791934542
0.2,0.6,Random Forest,0.9960257674932211,0.9944326594466281,0.9528584256210715,0.9549807060168642
0.2,0.8,Logistic Regression,0.7428216508794215,0.765993491263093,0.6938042502244837,0.6820018650917004
0.2,0.8,Light GBM,0.9603541605877867,0.9559029879372245,0.8965878479497157,0.8981577008106116
0.2,0.8,Random Forest,0.9966628684585167,0.9957238832337443,0.9528584256210715,0.9549807060168642
0.2,1.0,Logistic Regression,0.7403088132255405,0.768047681001901,0.6958994313079916,0.6835876673933354
0.2,1.0,Light GBM,0.9560857677745256,0.9497819262018538,0.8940436994911704,0.8959435626102293
0.2,1.0,Random Forest,0.9968615285710869,0.9960039065259136,0.9513618677042801,0.953617810760668
0.2,1.2,Logistic Regression,0.7435785750242268,0.7723060159755002,0.6976953008081412,0.6875966594494278
0.2,1.2,Light GBM,0.9574545740247893,0.9514920422213882,0.8940436994911704,0.8959129667744781
0.2,1.2,Random Forest,0.996707527789347,0.9957269131584261,0.9531577372044299,0.9552537526804861
0.2,1.4,Logistic Regression,0.7447599643836238,0.7684672883753261,0.6978449565998204,0.6851707469203182
0.2,1.4,Light GBM,0.9572273803176966,0.95164331421594,0.891499551032625,0.8939903494662963
0.2,1.4,Random Forest,0.9967181886927949,0.9956372586384753,0.9527087698293923,0.9548442412117747
0.2,1.6,Logistic Regression,0.7429252139414875,0.7676677173715601,0.696348398683029,0.6831172887708886
0.2,1.6,Light GBM,0.9586850572925014,0.9538070133402919,0.8985333732415445,0.9011373578302713
0.2,1.6,Random Forest,0.9963836692518312,0.9951788418261773,0.9530080814127506,0.9551172098341909
0.2,1.8,Logistic Regression,0.7474502747243148,0.7703464055272685,0.700688416641724,0.68798751950078
0.2,1.8,Light GBM,0.955569565037827,0.948088351574117,0.8932954205327747,0.8952548846775378
0.2,1.8,Random Forest,0.9965522727836721,0.9953165399215634,0.951212211912601,0.9534817351598173
0.2,2.0,Logistic Regression,0.7409558136011807,0.7679473035925809,0.689763543849147,0.6751292900799247
0.2,2.0,Light GBM,0.9612073016258954,0.9551207975204425,0.9004788985333733,0.9024211298606016
0.2,2.0,Random Forest,0.9970239505706764,0.9962860130705372,0.9539060161628256,0.955937052932761
0.4,0.2,Logistic Regression,0.7454209403973973,0.7704142287010483,0.6969470218497456,0.6841366401497426
0.4,0.2,Light GBM,0.9607125102835163,0.951662362387514,0.9030230469919186,0.9047619047619047
0.4,0.2,Random Forest,0.9969739159944102,0.9962349355680334,0.9527087698293923,0.9548442412117747
0.4,0.4,Logistic Regression,0.7384085743765096,0.7632918256002101,0.6912601017659383,0.6752715252636551
0.4,0.4,Light GBM,0.9599804018551407,0.9540511603756522,0.902424423825202,0.9044548651817117
0.4,0.4,Random Forest,0.9968899277844735,0.9959240018494766,0.9527087698293923,0.9548442412117747
0.4,0.6,Logistic Regression,0.7388140470572279,0.7634418774975343,0.6921580365160132,0.6777377408741971
0.4,0.6,Light GBM,0.9568885606803843,0.9495834420876501,0.8953906016162826,0.897130242825607
0.4,0.6,Random Forest,0.9966817266112544,0.995822550911868,0.9518108350793175,0.9540262707024558
0.4,0.8,Logistic Regression,0.7465346912517254,0.7754254222244203,0.7000897934750074,0.6879476798505139
0.4,0.8,Light GBM,0.9571693276669886,0.9517972621927409,0.8953906016162826,0.8971907633475511
0.4,0.8,Random Forest,0.9962322217116735,0.9944224734947168,0.9540556719545047,0.9560738303047647
0.4,1.0,Logistic Regression,0.7410499699837336,0.7657870125404742,0.6951511523495959,0.6808710637631208
0.4,1.0,Light GBM,0.9559820255376119,0.9495600451737302,0.8955402574079617,0.8979233694062592
0.4,1.0,Random Forest,0.996666631130322,0.9954681417943226,0.9518108350793175,0.9540262707024558
0.4,1.2,Logistic Regression,0.75120936303252,0.7719311502000789,0.7057767135588148,0.6932917316692668
0.4,1.2,Light GBM,0.9593905582559694,0.9508882452614094,0.8988326848249028,0.9007342143906021
0.4,1.2,Random Forest,0.996495339975763,0.9950458882871047,0.9531577372044299,0.9552537526804861
0.4,1.4,Logistic Regression,0.7478659603713613,0.7687950277555486,0.6994911703082909,0.684375982395473
0.4,1.4,Light GBM,0.9575343964195131,0.9494744293371301,0.8994313079916193,0.9007385524372231
